,,,,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year
MIMU Analytical Brief: Changing Sources of Drinking Water in Myanmar (2014 - 2019),Number of estimated population by source of drinking water,Improved sources - Urban,Number,,,,,,,,,,,,,,,,,,,,,,,,,"13,030,071",,,"2,720,492",,,,"13,895,999",,,,"13,621,445",,,,
MIMU Analytical Brief: Changing Sources of Drinking Water in Myanmar (2014 - 2019),Number of estimated population by source of drinking water,Limited services - Rural,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,"653,399",,,,"318,618",,,,"203,865",,,,
MIMU Analytical Brief: Changing Sources of Drinking Water in Myanmar (2014 - 2019),Number of estimated population by source of drinking water,Limited services - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,"957,616",,,,"351,959",,,,"219,922",,,,
MIMU Analytical Brief: Changing Sources of Drinking Water in Myanmar (2014 - 2019),Number of estimated population by source of drinking water,Limited services - Urban,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,"307,647",,,,0,,,,"14,740",,,,
MIMU Analytical Brief: Changing Sources of Drinking Water in Myanmar (2014 - 2019),Number of estimated population by source of drinking water,Safely managed services - Rural,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,896,951",,,,
MIMU Analytical Brief: Changing Sources of Drinking Water in Myanmar (2014 - 2019),Number of estimated population by source of drinking water,Safely managed services - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,158,524",,,,
MIMU Analytical Brief: Changing Sources of Drinking Water in Myanmar (2014 - 2019),Number of estimated population by source of drinking water,Safely managed services - Urban,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,399,843",,,,
MIMU Analytical Brief: Changing Sources of Drinking Water in Myanmar (2014 - 2019),Number of estimated population by source of drinking water,surface water- Rural,Number,,,,,,,,,,,,,,,,,,,,,,,,,"8,647,785",,,"3,030,427",,,,"7,044,989",,,,"5,759,173",,,,
MIMU Analytical Brief: Changing Sources of Drinking Water in Myanmar (2014 - 2019),Number of estimated population by source of drinking water,surface water- Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"9,939,059",,,"3,457,393",,,,"7,994,504",,,,"6,357,275",,,,
MIMU Analytical Brief: Changing Sources of Drinking Water in Myanmar (2014 - 2019),Number of estimated population by source of drinking water,surface water- Urban,Number,,,,,,,,,,,,,,,,,,,,,,,,,"1,161,159",,,"328,928",,,,"848,043",,,,"545,388",,,,
MIMU Analytical Brief: Changing Sources of Drinking Water in Myanmar (2014 - 2019),Number of estimated population by source of drinking water,Unimproved sources - Rural,Number,,,,,,,,,,,,,,,,,,,,,,,,,"11,764,563",,,"8,178,656",,,,"9,239,911",,,,"7,983,480",,,,
MIMU Analytical Brief: Changing Sources of Drinking Water in Myanmar (2014 - 2019),Number of estimated population by source of drinking water,Unimproved sources - Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"13,775,334",,,"9,973,693",,,,"10,357,659",,,,"9,165,114",,,,
MIMU Analytical Brief: Changing Sources of Drinking Water in Myanmar (2014 - 2019),Number of estimated population by source of drinking water,Unimproved sources - Urban,Number,,,,,,,,,,,,,,,,,,,,,,,,,"1,847,872",,,"1,604,877",,,,"981,944",,,,"1,118,783",,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,Disability prevalence rate - 5+ yr Rural,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,Disability prevalence rate - 5+ yr Total,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,Disability prevalence rate - 5+ yr Urban,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,Disability prevalence rate_Hearing - 5+ yr Rural,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,Disability prevalence rate_Hearing - 5+ yr Total,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,Disability prevalence rate_Hearing - 5+ yr Urban,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,Disability prevalence rate_Remembering - 5+ yr Rural,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,Disability prevalence rate_Remembering - 5+ yr Total,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,Disability prevalence rate_Remembering - 5+ yr Urban,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,Disability prevalence rate_Seeing - 5+ yr Rural,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,Disability prevalence rate_Seeing - 5+ yr Total,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,Disability prevalence rate_Seeing - 5+ yr Urban,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,Disability prevalence rate_Walking - 5+ yr Rural,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,Disability prevalence rate_Walking - 5+ yr Total,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,Disability prevalence rate_Walking - 5+ yr Urban,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,People with any of 4 disabilities - 5+ yr Rural,Number,,,,,,,,,,,,,,,,,,,,,,,,,"1,714,838",,,,,,,,,,,,,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,People with any of 4 disabilities - 5+ yr Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"2,235,853",,,,,,,,,,,,,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,People with any of 4 disabilities - 5+ yr Urban,Number,,,,,,,,,,,,,,,,,,,,,,,,,"521,015",,,,,,,,,,,,,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,People with any of 6 disabilities - 5+ yr Rural,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,294,927",,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,People with any of 6 disabilities - 5+ yr Urban,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,674,059",,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,People with Communication Disability - 5+ yr Female,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"397,827",,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,People with Communication Disability - 5+ yr Male,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"323,986",,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,People with Communication Disability - 5+ yr Rural,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"559,033",,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,People with Communication Disability - 5+ yr Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"743,413",,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,People with Communication Disability - 5+ yr Urban,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"176,527",,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,People with Hearing Disability - 5+ yr Female,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"646,469",,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,People with Hearing Disability - 5+ yr Male,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"431,982",,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,People with Hearing Disability - 5+ yr Rural,Number,,,,,,,,,,,,,,,,,,,,,,,,,"526,961",,,,,,,,,,,"822,107",,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,People with Hearing Disability - 5+ yr Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"662,870",,,,,,,,,,,"1,115,119",,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,People with Hearing Disability - 5+ yr Urban,Number,,,,,,,,,,,,,,,,,,,,,,,,,"135,909",,,,,,,,,,,"258,001",,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,People with Remembering Disability - 5+ yr Female,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,218,346",,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,People with Remembering Disability - 5+ yr Male,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"842,364",,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,People with Remembering Disability - 5+ yr Rural,Number,,,,,,,,,,,,,,,,,,,,,,,,,"631,988",,,,,,,,,,,"1,611,331",,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,People with Remembering Disability - 5+ yr Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"782,420",,,,,,,,,,,"2,044,385",,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,People with Remembering Disability - 5+ yr Urban,Number,,,,,,,,,,,,,,,,,,,,,,,,,"150,432",,,,,,,,,,,"461,686",,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,People with Seeing Disability - 5+ yr Female,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,715,630",,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,People with Seeing Disability - 5+ yr Male,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,187,950",,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,People with Seeing Disability - 5+ yr Rural,Number,,,,,,,,,,,,,,,,,,,,,,,,,"961,661",,,,,,,,,,,"2,038,826",,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,People with Seeing Disability - 5+ yr Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"1,240,153",,,,,,,,,,,"2,927,187",,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,People with Seeing Disability - 5+ yr Urban,Number,,,,,,,,,,,,,,,,,,,,,,,,,"278,492",,,,,,,,,,,"869,055",,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,People with Self-care Disability - 5+ yr Female,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"497,284",,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,People with Self-care Disability - 5+ yr Male,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"410,383",,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,People with Self-care Disability - 5+ yr Rural,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"690,570",,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,People with Self-care Disability - 5+ yr Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"882,802",,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,People with Self-care Disability - 5+ yr Urban,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"217,264",,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,People with Walking Disability - 5+ yr Female,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,566,445",,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,People with Walking Disability - 5+ yr Male,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"950,360",,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,People with Walking Disability - 5+ yr Rural,Number,,,,,,,,,,,,,,,,,,,,,,,,,"687,259",,,,,,,,,,,"1,775,752",,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,People with Walking Disability - 5+ yr Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"900,439",,,,,,,,,,,"2,509,017",,,,
MIMU Analytical Brief: Disability in Myanmar 2014-2019,Population by type of disability,People with Walking Disability - 5+ yr Urban,Number,,,,,,,,,,,,,,,,,,,,,,,,,"213,180",,,,,,,,,,,"733,265",,,,
"MMR_CSO, Statistical Yearbook",Antenatal care coverage for at least one visit (ANC),Total,Number,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,93,,,,,,,,
"MMR_CSO, Statistical Yearbook",Antenatal care coverage for at least one visit (ANC),Total,Percent,,,,,,,,,,,,,,,,,,,,,,,,,84,,82,,,86,,,,,,,,,,
"MMR_CSO, Statistical Yearbook",Average annual population growth rate,Total,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,1,1,,,,,,
"MMR_CSO, Statistical Yearbook",Beds in Private Hospital,Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"5,229",,"5,341",,,"8,421",,"9,198",,"10,339",,,,,,
"MMR_CSO, Statistical Yearbook",Crude birth rate (CBR),Rural,Per 1000 population,,,,,,,,,,,,,,,,,,,,,,,,,22,,22,,,22,,21,,21,,,,,,
"MMR_CSO, Statistical Yearbook",Crude birth rate (CBR),Total,Per 1000 population,,,,,,,,,,,,,,,,19,,,19,,,18,,,18,,20,,,20,,20,,20,,,,,,
"MMR_CSO, Statistical Yearbook",Crude birth rate (CBR),Urban,Per 1000 population,,,,,,,,,,,,,,,,,,,,,,,,,17,,17,,,17,,17,,17,,,,,,
"MMR_CSO, Statistical Yearbook",Crude death rate (CDR),rural,Per 1000 population,,,,,,,,,,,,,,,,,,,,,,,,,9,,9,,,9,,9,,9,,,,,,
"MMR_CSO, Statistical Yearbook",Crude death rate (CDR),Total,Per 1000 population,,,,,,,,,,,,,,,,8,,,8,,,8,,,7,,9,,,9,,9,,9,,,,,,
"MMR_CSO, Statistical Yearbook",Crude death rate (CDR),Urban,Per 1000 population,,,,,,,,,,,,,,,,,,,,,,,,,10,,10,,,9,,9,,9,,,,,,
"MMR_CSO, Statistical Yearbook",Doctors (Physicians),Total,Number,,,,,,,,,,,"26,435",,,,,,,,"29,832",,,"31,542",,,"32,861",,,"8,936",,,"10,479",,"17,845","17,343",,,,,,
"MMR_CSO, Statistical Yearbook",Doctors in Private Hospital,Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,"4,494",,"4,508",,,"5,108",,"5,226",,"5,722",,,,,,
"MMR_CSO, Statistical Yearbook",General hospital,Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,101","1,101",,,,,,
"MMR_CSO, Statistical Yearbook",Health Assistance,Total,Number,,,,,,,,,,,"1,883",,,,,,,,,,,,,,"2,074",,,"2,156",,,"2,156",,"2,500","2,587",,,,,,
"MMR_CSO, Statistical Yearbook",High schools,Total,Number,,,,,,,,,,,"1,179",,,,,,"1,245",,,"1,343",,,"2,795",,,"3,134",,"1,924",,,"1,972",,"2,287",,,,,,,
"MMR_CSO, Statistical Yearbook",Infant mortality rate,Female,Deaths per 1000 live births,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,
"MMR_CSO, Statistical Yearbook",Infant mortality rate,Male,Deaths per 1000 live births,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,
"MMR_CSO, Statistical Yearbook",Infant mortality rate,rural,Deaths per 1000 live births,,,,,,,,,,,,,,,,,,,,,,,,,50,,49,,,48,,47,,46,,,,,,
"MMR_CSO, Statistical Yearbook",Infant mortality rate,Total,Deaths per 1000 live births,,,,,,,,,,,,,,,,38,,,37,,,35,,,41,,45,,,,,43,,42,,,,,,
"MMR_CSO, Statistical Yearbook",Infant mortality rate,urban,Deaths per 1000 live births,,,,,,,,,,,,,,,,,,,,,,,,,32,,31,,,30,,30,,29,,,,,,
"MMR_CSO, Statistical Yearbook",Internet users,Total,Number,,,,,,,,,,,"591,320",,,,,,"692,443",,"1,092,121","1,092,121",,"2,777,218","2,777,218",,"8,259,570","17,988,570",,"39,438,758",,,"82,683,127",,"91,257,762","40,271,698",,,,,,
"MMR_CSO, Statistical Yearbook",Internet users,Total,Per 100 population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,,,,,,
"MMR_CSO, Statistical Yearbook",Length of Asphalt Concrete Road,Road Transportation,Miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,,,381,,"1,121","1,547",,,,,,
"MMR_CSO, Statistical Yearbook",Length of Bituminous Road,Road Transportation,Miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,491",,,,,"18,346","18,117",,,,,,
"MMR_CSO, Statistical Yearbook",Length of Bituminous Road,Total,Miles,,,,,,,,,,,"3,845",,,,,,,,"5,323",,,"4,893",,,"4,244",,,"3,409",,,"3,210",,"2,791",,,,,,,
"MMR_CSO, Statistical Yearbook",Length of Concrete Road,Road Transportation,Miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,148","2,372",,,,,,
"MMR_CSO, Statistical Yearbook",Length of Earth Road,Road Transportation,Miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35,788","35,692",,,,,,
"MMR_CSO, Statistical Yearbook",Length of Earth Road,Total,Miles,,,,,,,,,,,"22,307",,,,,,,,"24,670",,,"24,935",,,"25,212",,,"25,733",,,"25,868",,"26,060",,,,,,,
"MMR_CSO, Statistical Yearbook",Length of Metalled Road,Road Transportation,Miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,626","7,100",,,,,,
"MMR_CSO, Statistical Yearbook",Length of Metalled Road,Total,Miles,,,,,,,,,,,"4,296",,,,,,,,"3,266",,,"2,874",,,"2,681",,,"2,325",,,"2,131",,"1,871",,,,,,,
"MMR_CSO, Statistical Yearbook",Length of Mule Road,Road Transportation,Miles,,,,,,,,,,,,,,,,,,,,,,,,,,161,,161,,,161,,"7,215","7,107",,,,,,
"MMR_CSO, Statistical Yearbook",Length of Mule Road,Total,Miles,,,,,,,,,,,,,,,,,,,,,,,581,,,756,,848,,,"1,012",,"1,170",,,,,,,
"MMR_CSO, Statistical Yearbook",Length of Surface Road,Road Transportation,Miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,340","10,785",,,,,,
"MMR_CSO, Statistical Yearbook",Length of Surface Road,Total,Miles,,,,,,,,,,,"3,223",,,,,,,,"3,600",,,"3,447",,,"3,085",,,"3,296",,,"3,044",,"2,668",,,,,,,
"MMR_CSO, Statistical Yearbook",Length of Total Road,Road Transportation,Miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,881",,,,,"81,614","82,815",,,,,,
"MMR_CSO, Statistical Yearbook",Length of Total Road,Total,Miles,,,,,,,,,,,"10,943",,,,,,,,"11,362",,,"12,692",,,"14,285",,,"15,695",,,"16,024",,"16,108",,,,,,,
"MMR_CSO, Statistical Yearbook",Life expectancy at birth,Female,Years,,,,,,,,,,,,,,,,69,,,69,,,69,,,69,,69,,,70,,70,,71,,,,,,
"MMR_CSO, Statistical Yearbook",Life expectancy at birth,Male,Years,,,,,,,,,,,,,,,,65,,,65,,,66,,,61,,60,,,60,,61,,61,,,,,,
"MMR_CSO, Statistical Yearbook",Life expectancy at birth,Rural,Years,,,,,,,,,,,,,,,,,,,,,,,,,64,,64,,,65,,65,,66,,,,,,
"MMR_CSO, Statistical Yearbook",Life expectancy at birth,Rural Female,Years,,,,,,,,,,,,,,,,,,,,,,,,,68,,69,,,69,,70,,70,,,,,,
"MMR_CSO, Statistical Yearbook",Life expectancy at birth,Rural Male,Years,,,,,,,,,,,,,,,,,,,,,,,,,60,,60,,,61,,61,,62,,,,,,
"MMR_CSO, Statistical Yearbook",Life expectancy at birth,Total,Years,,,,,,,,,,,,,,,,67,,,67,,,68,,,65,,64,,,65,,66,,66,,,,,,
"MMR_CSO, Statistical Yearbook",Life expectancy at birth,Urban,Years,,,,,,,,,,,,,,,,,,,,,,,,,65,,65,,,66,,66,,67,,,,,,
"MMR_CSO, Statistical Yearbook",Life expectancy at birth,Urban Female,Years,,,,,,,,,,,,,,,,,,,,,,,,,71,,71,,,71,,72,,72,,,,,,
"MMR_CSO, Statistical Yearbook",Life expectancy at birth,Urban Male,Years,,,,,,,,,,,,,,,,,,,,,,,,,59,,59,,,60,,61,,61,,,,,,
"MMR_CSO, Statistical Yearbook",Maternal and child health center,Total,Number,,,,,,,,,,,348,,,,,,,,348,,,348,,,348,,,348,,,348,,348,348,,,,,,
"MMR_CSO, Statistical Yearbook",Maternal mortality ratio,Rural,Deaths per 1000 live births,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
"MMR_CSO, Statistical Yearbook",Maternal mortality ratio,Total,Deaths per 1000 live births,,,,,,,,,,,,,,,,1,,,1,,,1,,,2,,2,,,203,,202,,,,,,,,
"MMR_CSO, Statistical Yearbook",Maternal mortality ratio,Urban,Deaths per 1000 live births,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
"MMR_CSO, Statistical Yearbook",Middle schools,Total,Number,,,,,,,,,,,"2,211",,,,,,"2,225",,,"2,245",,,"3,751",,,"4,860",,"2,625",,,"2,635",,"3,934",,,,,,,
"MMR_CSO, Statistical Yearbook",Midwives,Total,Number,,,,,,,,,,,"19,556",,,,,,,,"20,617",,,"21,435",,,"22,258",,,"13,811",,,"13,651",,"14,280","14,110",,,,,,
"MMR_CSO, Statistical Yearbook",Mobile Phone,CDMA,Number,,,,,,,,,,,"655,502",,,,,,,,"981,059",,,"2,899,365",,,"3,984,542",,,,,,,,,,,,,,,
"MMR_CSO, Statistical Yearbook",Mobile Phone,Cellular,Number,,,,,,,,,,,"23,361",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MMR_CSO, Statistical Yearbook",Mobile Phone,GSM,Number,,,,,,,,,,,"394,320",,,,,,,,"2,564,854",,,"4,042,529",,,"4,533,324",,,,,,,,,,,,,,,
"MMR_CSO, Statistical Yearbook",Mobile Phone,Ooredoo (Private),Number,,,,,,,,,,,,,,,,,,,,,,,,,"3,329,000",,,,,,,,,,,,,,,
"MMR_CSO, Statistical Yearbook",Mobile Phone,Telenor (Private),Number,,,,,,,,,,,,,,,,,,,,,,,,,"6,400,000",,,,,,,,,,,,,,,
"MMR_CSO, Statistical Yearbook",Mobile Phone,Total,Number,,,,,,,,,,,"1,119,703",,,,,,"1,637,637",,,"3,804,507",,,"7,725,573",,,"27,568,244",,"49,414,671",,,"54,255,594",,"53,161,259","48,905,401",,,,,,
"MMR_CSO, Statistical Yearbook",Mobile Phone,Total,Per 100 population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,100,91,,,,,,
"MMR_CSO, Statistical Yearbook",Mobile Phone,WCDMA,Number,,,,,,,,,,,,,,,,,,,"258,552",,,"783,671",,,"9,321,378",,,,,,,,,,,,,,,
"MMR_CSO, Statistical Yearbook",Monastic school students (High),Female,Number,,,,,,,,,,,"1,195",,,,,,"1,320",,,"1,834",,,"2,205",,,"2,025",,"2,295",,,"2,372",,"2,847",,,,,,,
"MMR_CSO, Statistical Yearbook",Monastic school students (High),Male,Number,,,,,,,,,,,"1,153",,,,,,"1,279",,,"2,009",,,"2,026",,,"3,455",,"2,872",,,"3,772",,"2,707",,,,,,,
"MMR_CSO, Statistical Yearbook",Monastic school students (High),Novice,Number,,,,,,,,,,,503,,,,,,590,,,625,,,489,,,,,,,,,,580,,,,,,,
"MMR_CSO, Statistical Yearbook",Monastic school students (High),Nun,Number,,,,,,,,,,,38,,,,,,85,,,74,,,33,,,,,,,,,,39,,,,,,,
"MMR_CSO, Statistical Yearbook",Monastic school students (High),Total,Number,,,,,,,,,,,"2,889",,,,,,"3,274",,,"4,542",,,"4,753",,,"5,480",,"5,167",,,"6,144",,"6,173",,,,,,,
"MMR_CSO, Statistical Yearbook",Monastic school students (Middle),Female,Number,,,,,,,,,,,"15,801",,,,,,"15,518",,,"19,336",,,"22,460",,,"23,454",,"26,225",,,"28,369",,"32,197",,,,,,,
"MMR_CSO, Statistical Yearbook",Monastic school students (Middle),Male,Number,,,,,,,,,,,"15,246",,,,,,"16,384",,,"19,780",,,"21,629",,,"29,879",,"32,761",,,"36,329",,"35,307",,,,,,,
"MMR_CSO, Statistical Yearbook",Monastic school students (Middle),Novice,Number,,,,,,,,,,,"3,687",,,,,,"3,742",,,"5,536",,,"7,738",,,"10,458",,"11,093",,,"11,348",,"9,190",,,,,,,
"MMR_CSO, Statistical Yearbook",Monastic school students (Middle),Nun,Number,,,,,,,,,,,"1,538",,,,,,"1,908",,,"2,563",,,"3,761",,,"5,844",,"6,553",,,"6,516",,"6,245",,,,,,,
"MMR_CSO, Statistical Yearbook",Monastic school students (Middle),Total,Number,,,,,,,,,,,"36,272",,,,,,"37,552",,,"47,215",,,"55,588",,,"69,635",,"76,632",,,"82,562",,"82,939",,,,,,,
"MMR_CSO, Statistical Yearbook",Monastic school students (Primary),Female,Number,,,,,,,,,,,"77,723",,,,,,"84,433",,,"87,312",,,"91,750",,,"85,767",,"85,562",,,"101,614",,"94,731",,,,,,,
"MMR_CSO, Statistical Yearbook",Monastic school students (Primary),Male,Number,,,,,,,,,,,"87,663",,,,,,"93,120",,,"94,974",,,"98,813",,,"115,658",,"120,915",,,"98,453",,"99,620",,,,,,,
"MMR_CSO, Statistical Yearbook",Monastic school students (Primary),Novice,Number,,,,,,,,,,,"2,801",,,,,,"10,388",,,"10,940",,,"13,099",,,"12,111",,"13,334",,,"13,584",,"16,304",,,,,,,
"MMR_CSO, Statistical Yearbook",Monastic school students (Primary),Nun,Number,,,,,,,,,,,"7,985",,,,,,"3,563",,,"4,474",,,"5,264",,,"5,571",,"6,065",,,"7,395",,"9,202",,,,,,,
"MMR_CSO, Statistical Yearbook",Monastic school students (Primary),Total,Number,,,,,,,,,,,"176,172",,,,,,"191,504",,,"197,700",,,"208,926",,,"219,107",,"225,876",,,"221,046",,"219,857",,,,,,,
