month_of_implementation,donor,reporting_organization_type,implementing_partner_type,state,township,village_tract_town,village_ward,idp_camp_site_name,specify_location,location_combined,location_type,rural_or_urban,humanitarian_or_development,response_plan_if_project_under_fts,project_code,activity,activity_description,was_nutrition_mainstreamed_in_activity,fsc_objectives,hrp_indicator,activity_status,conditionality,frequency,delivery_modality,type_of_in_kind_assistance,unit,quantity,total_value,value_per_household,value_per_individual,currency,value_per_household_usd,cash_delivery_mechanism,food_insecurity_status,food_security_indicator_used,evidence,beneficiary_type,child_male,child_female,adult_male,adult_female,elderly_male,elderly_female,reached_households,reached_beneficiaries,new_beneficiaries,people_with_disability_male,people_with_disability_female,total_number_of_people_with_disability,comments,cluster_name,country,admin1_pcode,admin2_pcode,admin3_pcode,adm1_3,adm3_4,org_code,report_org_code,location,date,admin4_pcode,total_value_usd,admin3_pcode_old
March 2022,CERF,UN agency,INGO,Mon,Paung,Oke Ta Dar,Oke Ta Dar,NA,NA,"Oke Ta DarOke Ta Darprovision of crop, vegetable and seed kits",Village,Rural,Humanitarian,HRP,OSRO/MYA/104/CHA,"provision of crop, vegetable and seed kits","Agri inputs ( 100 g of 5 types of vegetable seeds, 40 Kg of Compound fertilizer), 170,000 MMK of Cash inputs",Yes,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,In-kind,Agricultural inputs,Kg,40.1,7480000,170000,NA,MMK,95.72072072072072,Money Transfer Agent,Moderately food insecure,NA,NA,Host/local Community,29,31,60,74,NA,NA,44,194,194,0,2,2,NA,NA,NA,MMR011,NA,MMR011008,Mon-Paung,Paung-Oke Ta Dar,org_7002,org_8415,Oke Ta Dar,2022-03-01,MMR011008003,4211.711711711711,MMR011008
March 2022,CERF,UN agency,INGO,Mon,Paung,Thea Hpyu Kone,Kan Hpyu,NA,NA,"Thea Hpyu KoneKan Hpyuprovision of crop, vegetable and seed kits",Village,Rural,Humanitarian,HRP,OSRO/MYA/104/CHA,"provision of crop, vegetable and seed kits","Agri inputs ( 100 g of 5 types of vegetable seeds, 40 Kg of Compound fertilizer), 170,000 MMK of Cash inputs",Yes,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,In-kind,Agricultural inputs,Kg,40.1,17000000,170000,NA,MMK,95.72072072072072,Money Transfer Agent,Moderately food insecure,NA,NA,Host/local Community,95,90,166,167,NA,NA,100,518,518,10,9,19,NA,NA,NA,MMR011,NA,MMR011008,Mon-Paung,Paung-Thea Hpyu Kone,org_7002,org_8415,Kan Hpyu,2022-03-01,MMR011008041,9572.072072072073,MMR011008
March 2022,CERF,UN agency,INGO,Mon,Paung,Thea Hpyu Kone,Nat Sin Kone,NA,NA,"Thea Hpyu KoneNat Sin Koneprovision of crop, vegetable and seed kits",Village,Rural,Humanitarian,HRP,OSRO/MYA/104/CHA,"provision of crop, vegetable and seed kits","Agri inputs ( 100 g of 5 types of vegetable seeds, 40 Kg of Compound fertilizer), 170,000 MMK of Cash inputs",Yes,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,In-kind,Agricultural inputs,Kg,40.1,510000,170000,NA,MMK,95.72072072072072,Money Transfer Agent,Moderately food insecure,NA,NA,Host/local Community,0,1,10,8,NA,NA,3,19,19,0,0,0,NA,NA,NA,MMR011,NA,MMR011008,Mon-Paung,Paung-Thea Hpyu Kone,org_7002,org_8415,Nat Sin Kone,2022-03-01,MMR011008041,287.1621621621622,MMR011008
March 2022,CERF,UN agency,INGO,Mon,Paung,Thea Hpyu Kone,Thea Hpyu Kone,NA,NA,"Thea Hpyu KoneThea Hpyu Koneprovision of crop, vegetable and seed kits",Village,Rural,Humanitarian,HRP,OSRO/MYA/104/CHA,"provision of crop, vegetable and seed kits","Agri inputs ( 100 g of 5 types of vegetable seeds, 40 Kg of Compound fertilizer), 170,000 MMK of Cash inputs",Yes,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,In-kind,Agricultural inputs,Kg,40.1,170000,170000,NA,MMK,95.72072072072072,Money Transfer Agent,Moderately food insecure,NA,NA,Host/local Community,0,2,2,2,NA,NA,1,6,6,0,0,0,NA,NA,NA,MMR011,NA,MMR011008,Mon-Paung,Paung-Thea Hpyu Kone,org_7002,org_8415,Thea Hpyu Kone,2022-03-01,MMR011008041,95.72072072072072,MMR011008
March 2022,CERF,UN agency,INGO,Mon,Paung,Thea Hpyu Kone,Thoe Kya,NA,NA,"Thea Hpyu KoneThoe Kyaprovision of crop, vegetable and seed kits",Village,Rural,Humanitarian,HRP,OSRO/MYA/104/CHA,"provision of crop, vegetable and seed kits","Agri inputs ( 100 g of 5 types of vegetable seeds, 40 Kg of Compound fertilizer), 170,000 MMK of Cash inputs",Yes,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,In-kind,Agricultural inputs,Kg,40.1,1530000,170000,NA,MMK,95.72072072072072,Money Transfer Agent,Moderately food insecure,NA,NA,Host/local Community,7,4,16,14,NA,NA,9,41,41,0,1,1,NA,NA,NA,MMR011,NA,MMR011008,Mon-Paung,Paung-Thea Hpyu Kone,org_7002,org_8415,Thoe Kya,2022-03-01,MMR011008041,861.4864864864865,MMR011008
March 2022,CERF,UN agency,INGO,Mon,Paung,Thea Hpyu Kone,Ye Pyar Kone,NA,NA,"Thea Hpyu KoneYe Pyar Koneprovision of crop, vegetable and seed kits",Village,Rural,Humanitarian,HRP,OSRO/MYA/104/CHA,"provision of crop, vegetable and seed kits","Agri inputs ( 100 g of 5 types of vegetable seeds, 40 Kg of Compound fertilizer), 170,000 MMK of Cash inputs",Yes,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,In-kind,Agricultural inputs,Kg,40.1,6630000,170000,NA,MMK,95.72072072072072,Money Transfer Agent,Moderately food insecure,NA,NA,Host/local Community,34,48,68,71,NA,NA,39,221,221,5,3,8,NA,NA,NA,MMR011,NA,MMR011008,Mon-Paung,Paung-Thea Hpyu Kone,org_7002,org_8415,Ye Pyar Kone,2022-03-01,MMR011008041,3733.108108108108,MMR011008
March 2022,CERF,UN agency,INGO,Mon,Paung,Thea Ein,In Gyin Kone,NA,NA,"Thea EinIn Gyin Koneprovision of crop, vegetable and seed kits",Village,Rural,Humanitarian,HRP,OSRO/MYA/104/CHA,"provision of crop, vegetable and seed kits","Agri inputs ( 100 g of 5 types of vegetable seeds, 40 Kg of Compound fertilizer), 170,000 MMK of Cash inputs",Yes,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,In-kind,Agricultural inputs,Kg,40.1,3230000,170000,NA,MMK,95.72072072072072,Money Transfer Agent,Moderately food insecure,NA,NA,Host/local Community,21,27,33,34,NA,NA,19,115,115,1,2,3,NA,NA,NA,MMR011,NA,MMR011008,Mon-Paung,Paung-Thea Ein,org_7002,org_8415,In Gyin Kone,2022-03-01,MMR011008040,1818.6936936936936,MMR011008
March 2022,CERF,UN agency,INGO,Mon,Paung,Yin Nyein (South),Yin Nyein (South),NA,NA,"Yin Nyein (South)Yin Nyein (South)provision of crop, vegetable and seed kits",Village,Rural,Humanitarian,HRP,OSRO/MYA/104/CHA,"provision of crop, vegetable and seed kits","Agri inputs ( 100 g of 5 types of vegetable seeds, 40 Kg of Compound fertilizer), 170,000 MMK of Cash inputs",Yes,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,In-kind,Agricultural inputs,Kg,40.1,3740000,170000,NA,MMK,95.72072072072072,Money Transfer Agent,Moderately food insecure,NA,NA,Host/local Community,20,21,29,28,NA,NA,22,98,98,2,1,3,NA,NA,NA,MMR011,NA,MMR011008,Mon-Paung,Paung-Yin Nyein (South),org_7002,org_8415,Yin Nyein (South),2022-03-01,MMR011008019,2105.8558558558557,MMR011008
March 2022,CERF,UN agency,NNGO,Kayin,Kawkareik,Kawt Hlyan,Kawt Khaik,NA,NA,"Kawt HlyanKawt Khaikprovision of crop, vegetable and seed kits",Village,Rural,Humanitarian,HRP,OSRO/MYA/104/CHA,"provision of crop, vegetable and seed kits","Agri inputs ( 100 g of 5 types of vegetable seeds, 40 Kg of Compound fertilizer), 170,000 MMK of Cash inputs",Yes,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,In-kind,Agricultural inputs,Kg,40.1,3230000,170000,NA,MMK,95.72072072072072,Money Transfer Agent,Moderately food insecure,NA,NA,Host/local Community,59,65,96,124,NA,NA,19,344,344,2,0,2,NA,NA,NA,MMR003,NA,MMR003006,Kayin-Kawkareik,Kawkareik-Kawt Hlyan,org_6130,org_8415,Kawt Khaik,2022-03-01,MMR003006043,1818.6936936936936,MMR003006
March 2022,CERF,UN agency,NNGO,Kayin,Kawkareik,Kayin Kyauk Hpyar,Kawt Hto Kee,NA,NA,"Kayin Kyauk HpyarKawt Hto Keeprovision of crop, vegetable and seed kits",Village,Rural,Humanitarian,HRP,OSRO/MYA/104/CHA,"provision of crop, vegetable and seed kits","Agri inputs ( 100 g of 5 types of vegetable seeds, 40 Kg of Compound fertilizer), 170,000 MMK of Cash inputs",Yes,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,In-kind,Agricultural inputs,Kg,40.1,3740000,170000,NA,MMK,95.72072072072072,Money Transfer Agent,Moderately food insecure,NA,NA,Host/local Community,49,39,47,56,NA,NA,22,191,191,1,3,4,NA,NA,NA,MMR003,NA,MMR003006,Kayin-Kawkareik,Kawkareik-Kayin Kyauk Hpyar,org_6130,org_8415,Kawt Hto Kee,2022-03-01,MMR003006042,2105.8558558558557,MMR003006
March 2022,CERF,UN agency,NNGO,Kayin,Kawkareik,Kayin Kyauk Hpyar,Kayin Kyauk Hpyar,NA,NA,"Kayin Kyauk HpyarKayin Kyauk Hpyarprovision of crop, vegetable and seed kits",Village,Rural,Humanitarian,HRP,OSRO/MYA/104/CHA,"provision of crop, vegetable and seed kits","Agri inputs ( 100 g of 5 types of vegetable seeds, 40 Kg of Compound fertilizer), 170,000 MMK of Cash inputs",Yes,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,In-kind,Agricultural inputs,Kg,40.1,6290000,170000,NA,MMK,95.72072072072072,Money Transfer Agent,Moderately food insecure,NA,NA,Host/local Community,38,18,42,51,NA,NA,37,149,149,5,9,14,NA,NA,NA,MMR003,NA,MMR003006,Kayin-Kawkareik,Kawkareik-Kayin Kyauk Hpyar,org_6130,org_8415,Kayin Kyauk Hpyar,2022-03-01,MMR003006042,3541.6666666666665,MMR003006
March 2022,CERF,UN agency,NNGO,Kayin,Kawkareik,Kayin Kyauk Hpyar,Ywar Ka Lay,NA,NA,"Kayin Kyauk HpyarYwar Ka Layprovision of crop, vegetable and seed kits",Village,Rural,Humanitarian,HRP,OSRO/MYA/104/CHA,"provision of crop, vegetable and seed kits","Agri inputs ( 100 g of 5 types of vegetable seeds, 40 Kg of Compound fertilizer), 170,000 MMK of Cash inputs",Yes,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,In-kind,Agricultural inputs,Kg,40.1,17000000,170000,NA,MMK,95.72072072072072,Money Transfer Agent,Moderately food insecure,NA,NA,Host/local Community,82,71,111,161,NA,NA,100,425,425,4,10,14,NA,NA,NA,MMR003,NA,MMR003006,Kayin-Kawkareik,Kawkareik-Kayin Kyauk Hpyar,org_6130,org_8415,Ywar Ka Lay,2022-03-01,MMR003006042,9572.072072072073,MMR003006
March 2022,CERF,UN agency,NNGO,Kayin,Kawkareik,Yae Pu Gyi,Yae Pu Gyi,NA,NA,"Yae Pu GyiYae Pu Gyiprovision of crop, vegetable and seed kits",Village,Rural,Humanitarian,HRP,OSRO/MYA/104/CHA,"provision of crop, vegetable and seed kits","Agri inputs ( 100 g of 5 types of vegetable seeds, 40 Kg of Compound fertilizer),",Yes,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,In-kind,Agricultural inputs,Kg,40.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,40,42,58,79,NA,NA,51,219,219,5,9,14,NA,NA,NA,MMR003,NA,MMR003006,Kayin-Kawkareik,Kawkareik-Yae Pu Gyi,org_6130,org_8415,Yae Pu Gyi,2022-03-01,MMR003006027,NA,MMR003006
March 2022,CERF,UN agency,INGO,Kayin,Kyainseikgyi,Kha Lel,Kha Lel Ywar Lay,NA,NA,"Kha LelKha Lel Ywar Layprovision of crop, vegetable and seed kits",Village,Rural,Humanitarian,HRP,OSRO/MYA/104/CHA,"provision of crop, vegetable and seed kits","Agri inputs ( 100 g of 5 types of vegetable seeds, 40 Kg of Compound fertilizer)",Yes,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,In-kind,Agricultural inputs,Kg,40.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,28,19,55,51,NA,NA,33,153,153,1,2,3,NA,NA,NA,MMR003,NA,MMR003007,Kayin-Kyainseikgyi,Kyainseikgyi-Kha Lel,org_7002,org_8415,Kha Lel Ywar Lay,2022-03-01,MMR003007020,NA,MMR003007
March 2022,CERF,UN agency,INGO,Kayin,Kyainseikgyi,Kha Lel,Myoe Haung,NA,NA,"Kha LelMyoe Haungprovision of crop, vegetable and seed kits",Village,Rural,Humanitarian,HRP,OSRO/MYA/104/CHA,"provision of crop, vegetable and seed kits","Agri inputs ( 100 g of 5 types of vegetable seeds, 40 Kg of Compound fertilizer)",Yes,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,In-kind,Agricultural inputs,Kg,40.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,64,72,102,129,NA,NA,84,367,367,7,2,9,NA,NA,NA,MMR003,NA,MMR003007,Kayin-Kyainseikgyi,Kyainseikgyi-Kha Lel,org_7002,org_8415,Myoe Haung,2022-03-01,MMR003007020,NA,MMR003007
March 2022,CERF,UN agency,INGO,Kayin,Kyainseikgyi,Kyar Inn Shwe Doe,Shwe Lin,NA,NA,"Kyar Inn Shwe DoeShwe Linprovision of crop, vegetable and seed kits",Village,Rural,Humanitarian,HRP,OSRO/MYA/104/CHA,"provision of crop, vegetable and seed kits","Agri inputs ( 100 g of 5 types of vegetable seeds, 40 Kg of Compound fertilizer)",Yes,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,In-kind,Agricultural inputs,Kg,40.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,15,14,44,39,NA,NA,27,112,112,2,0,2,NA,NA,NA,MMR003,NA,MMR003007,Kayin-Kyainseikgyi,Kyainseikgyi-Kyar Inn Shwe Doe,org_7002,org_8415,Shwe Lin,2022-03-01,MMR003007002,NA,MMR003007
March 2022,CERF,UN agency,INGO,Kayin,Kyainseikgyi,Ta Khun Taing,Hti Man Hto,NA,NA,"Ta Khun TaingHti Man Htoprovision of crop, vegetable and seed kits",Village,Rural,Humanitarian,HRP,OSRO/MYA/104/CHA,"provision of crop, vegetable and seed kits","Agri inputs ( 100 g of 5 types of vegetable seeds, 40 Kg of Compound fertilizer)",Yes,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,In-kind,Agricultural inputs,Kg,40.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,87,70,90,116,NA,NA,79,363,363,2,2,4,NA,NA,NA,MMR003,NA,MMR003007,Kayin-Kyainseikgyi,Kyainseikgyi-Ta Khun Taing,org_7002,org_8415,Hti Man Hto,2022-03-01,MMR003007019,NA,MMR003007
March 2022,CERF,UN agency,INGO,Kayin,Kyainseikgyi,Than Pu Yar,Kawt Ka Mar,NA,NA,"Than Pu YarKawt Ka Marprovision of crop, vegetable and seed kits",Village,Rural,Humanitarian,HRP,OSRO/MYA/104/CHA,"provision of crop, vegetable and seed kits","Agri inputs ( 100 g of 5 types of vegetable seeds, 40 Kg of Compound fertilizer)",Yes,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,In-kind,Agricultural inputs,Kg,40.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,31,22,58,61,NA,NA,34,172,172,7,4,11,NA,NA,NA,MMR003,NA,MMR003007,Kayin-Kyainseikgyi,Kyainseikgyi-Than Pu Yar,org_7002,org_8415,Kawt Ka Mar,2022-03-01,MMR003007004,NA,MMR003007
March 2022,CERF,UN agency,INGO,Kayin,Kyainseikgyi,Than Pu Yar,Ma Ri Ka La,NA,NA,"Than Pu YarMa Ri Ka Laprovision of crop, vegetable and seed kits",Village,Rural,Humanitarian,HRP,OSRO/MYA/104/CHA,"provision of crop, vegetable and seed kits","Agri inputs ( 100 g of 5 types of vegetable seeds, 40 Kg of Compound fertilizer)",Yes,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,In-kind,Agricultural inputs,Kg,40.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,60,38,54,71,NA,NA,43,223,223,6,0,6,NA,NA,NA,MMR003,NA,MMR003007,Kayin-Kyainseikgyi,Kyainseikgyi-Than Pu Yar,org_7002,org_8415,Ma Ri Ka La,2022-03-01,MMR003007004,NA,MMR003007
March 2022,CERF,UN agency,NNGO,Kayah,Demoso,Daw Bu Ku,Daw Bu Ku,NA,NA,"Daw Bu KuDaw Bu Kuprovision of crop, vegetable and seed kits",Village,Rural,Humanitarian,HRP,OSRO/MYA/104/CHA,"provision of crop, vegetable and seed kits","Agri inputs ( 100 g of 5 types of vegetable seeds, 40 Kg of Compound fertilizer)",Yes,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,In-kind,Agricultural inputs,Kg,40.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,76,85,102,126,NA,NA,72,389,389,0,0,0,NA,NA,NA,MMR002,NA,MMR002002,Kayah-Demoso,Demoso-Daw Bu Ku,org_6130,org_8415,Daw Bu Ku,2022-03-01,MMR002002005,NA,MMR002002
March 2022,CERF,UN agency,NNGO,Kayah,Demoso,Nan Mei Khon Town,Kyun Taw,NA,NA,"Nan Mei Khon TownKyun Tawprovision of crop, vegetable and seed kits",Village,Rural,Humanitarian,HRP,OSRO/MYA/104/CHA,"provision of crop, vegetable and seed kits","Agri inputs ( 100 g of 5 types of vegetable seeds, 40 Kg of Compound fertilizer)",Yes,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,In-kind,Agricultural inputs,Kg,40.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,288,280,363,364,NA,NA,224,1295,1295,12,14,26,NA,NA,NA,MMR002,NA,MMR002002,Kayah-Demoso,Demoso-Nan Mei Khon Town,org_6130,org_8415,Kyun Taw,2022-03-01,MMR002002702,NA,MMR002002
March 2022,CERF,UN agency,NNGO,Kayah,Demoso,Nan Mei Khon Town,Ok,NA,NA,"Nan Mei Khon TownOkprovision of crop, vegetable and seed kits",Village,Rural,Humanitarian,HRP,OSRO/MYA/104/CHA,"provision of crop, vegetable and seed kits","Agri inputs ( 100 g of 5 types of vegetable seeds, 40 Kg of Compound fertilizer)",Yes,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,In-kind,Agricultural inputs,Kg,40.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,178,127,265,249,NA,NA,141,819,819,0,2,2,NA,NA,NA,MMR002,NA,MMR002002,Kayah-Demoso,Demoso-Nan Mei Khon Town,org_6130,org_8415,Ok,2022-03-01,MMR002002702,NA,MMR002002
March 2022,CERF,UN agency,NNGO,Kayah,Demoso,Saung Du Lar,Do Taw Ku,NA,NA,"Saung Du LarDo Taw Kuprovision of crop, vegetable and seed kits",Village,Rural,Humanitarian,HRP,OSRO/MYA/104/CHA,"provision of crop, vegetable and seed kits","Agri inputs ( 100 g of 5 types of vegetable seeds, 40 Kg of Compound fertilizer)",Yes,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,In-kind,Agricultural inputs,Kg,40.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,49,45,116,109,NA,NA,61,319,319,2,0,2,NA,NA,NA,MMR002,NA,MMR002002,Kayah-Demoso,Demoso-Saung Du Lar,org_6130,org_8415,Do Taw Ku,2022-03-01,MMR002002017,NA,MMR002002
March 2022,CERF,UN agency,NNGO,Kayah,Demoso,Saung Du Lar,Ngan Roe,NA,NA,"Saung Du LarNgan Roeprovision of crop, vegetable and seed kits",Village,Rural,Humanitarian,HRP,OSRO/MYA/104/CHA,"provision of crop, vegetable and seed kits","Agri inputs ( 100 g of 5 types of vegetable seeds, 40 Kg of Compound fertilizer)",Yes,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,In-kind,Agricultural inputs,Kg,40.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,1,0,1,3,NA,NA,1,5,5,0,0,0,NA,NA,NA,MMR002,NA,MMR002002,Kayah-Demoso,Demoso-Saung Du Lar,org_6130,org_8415,Ngan Roe,2022-03-01,MMR002002017,NA,MMR002002
